english,tamil
iv. Foster Parent Programme,iv. வளர்ப்புப் பெற்றோர் நிகழ்ச்சித்திட்டம்
v. Mapiya Surekuma Programme,v. பெற்றோர் பாதுகாப்பு நிகழ்ச்சித்திட்டம்
vi. Housing Assistance Project,vi. வீட்டு உதவித் திட்டம்
14. War hero Honor and Dignity Division,14. போர் வீரர்களுக்கான கௌரவம் மற்றும் அபிமான பிரிவு
i. Ranaviru Remembrance Project,i. ரணவிரு ஞாபகார்த்த திட்டம்
ii. Land project,ii. காணித் திட்டம்
15. Social and Cultural Division,15. சமூக மற்றும் கலாசாரப் பிரிவு
i. Community  Project,i. சனசமுக செயற்றிட்டம்
ii. Ranaviru Villages Project,ii. ரணவிரு கிராமியத் திட்டம்
iii. Cultural Division,iii. கலாசார பிரிவு
16. Conclusion,16. முடிவு
17. Auditor General’s Report,17. கணக்காய்வாளர் நாயக அறிக்கை
18. Financial Statement,18. நிதி அறிக்கை
Vision of the Ranaviru Sewa Authority,ரணவிரு சேவை அதிகார சபையின் தூரநோக்கு
"Paying the country’s respect and gratitude embodying the name ""Ranaviru”","""ரணவிரு"" எனும் பெயருக்கு நாட்டின் மரியாதை மற்றும் நன்றியைத் தெரிவித்தல்"
Our Mission Statement,எங்கள் பணிக்கூற்று
"Planning and operation of welfare services for the settlement of psycho-social and social issues faced by the family members of those missing, killed of disabled in action in the Armed Services and Police in defending the country and the people and creating a mental awakening of those heroes presently in service.","இலங்கையின் ஒற்றுமையை பாதுகாக்கும் முகமாக ஆயுதப் படையினரில் உயிர்த்தியாகம் செய்த, காணமற்போன, அங்கவீனமுற்ற இராணுவத்தினரதும், அவர்களது குடும்ப உறுப்பினர்களதும், உளவியல் மற்றும் சமுகவியல் ஸ்தீர தன்மையை ஏற்படுத்தவும், சேவையிலுள்ள இராணுவத்தினருக்கும் அக்குடும்பத்தினருக்கும் மனச் சந்தோஷத்தினை ஏற்படுத்தும் வண்ணம் செயற்படல்."
Preamble,முன்னுரை
The Ranaviru Sewa Authority was established by the Parliamentary act of no 54 1999.,ரணவிரு சேவை அதிகார சபையானது 1999 ஆம் ஆண்டு 54ம் இலக்க பாராளுமன்ற சட்டத்தினூடாக ஸ்தாபிக்கப்பட்டது.
Since its inception to date in the 12 years of existence the Authority has marched forward overcoming various obstacles and difficulties during this limited period of time but gained huge experiences that are incomparable.,அதிகாரசபை ஆரம்பிக்கப்பட்ட நாளிலிருந்து 12 வருடங்களான குறிப்பிட்ட காலப்பகுதியினுள் பல்வேறுபட்ட கஷ்டங்களையும் தாண்டி முன்நோக்கி வந்துள்ளதுடன் அதன்மூலம் பெற்றுள்ள அனுபவங்கள் அளப்பரியன.
There are a lot of unique reasons for the emergence of the Ranaviru Sewa Authority when one looks into its functions.,ரணவிரு சேவா அதிகார சபைக்கு வழங்கப்பட்டுள்ள பொறுப்புக்களை நோக்குமிடத்து அது விஷேடமாக தெரிவதற்கு தெளிவான காரணிகள் பல உள்ளன.
"The functions of the Ranaviru Sewa Authority are really supreme in the context of provision of a strong helping hand for the continuation of the future lives of children, wives and parents of  the gallant war heroes who sacrificed their lives or those  missing or lost their limbs in the fight of liberating our motherland from the cruel terrorism that was under the influence of specially both local and overseas conspirators  and  with a view to protect the liberty of the people and the country, their dignity, sovereignty and the territorial integrity.","குறிப்பாக உள்நாட்டு வெளிநாட்டு சூழ்ச்சிக்காரர்களின் பிடியில் சிக்கியிருந்த கொடூர பயங்கரவாதத்திலிருந்து நமது என்றும் அன்பு செலுத்தும் தாய்நாட்டினைப் பாதுகாத்து நாட்டினதும், மக்களினதும், சுதந்திரம், கௌரவம் மற்றும் இறைமை, பிராந்திய சுயாட்சியைப் பாதுகாத்தல் போன்ற பாரிய எதிப்பார்ப்புக்களுடனும், துணிச்சலுடனும் உயிர் நீத்த காணாமற் போன தமது உடல் உறுப்புக்களை அர்ப்பணித்த நாட்டின் வீர இராணுவத்தினரின் மக்களுக்கு மனைவிமாருக்கு, பெற்றோருக்கு, எதிர்கால சுபீட்சமான வாழ்வுக்கு உறுதியுடன் கைகொடுத்து உதவி வருகின்ற இராணுவ அதிகார சபையின் பணி உண்மையிலேயே மகத்துவமானதாகும்."
"During the year 2011, the Ranaviru Sewa Authority implemented a number of projects and programmes to discharge this supreme functions and I state with gratitude to all those who supported in this endeavor that it reflects the collective efforts of all of us rendered for the provision of the significant service for the Rananiru community amidst various difficulties.","2011ம் வருடத்துள் இந்த உன்னத கடமையை நிறைவேற்றுவதற்காக ரணவிரு சேவை அதிகார சபையினால் பல வகையான நிகழ்ச்சித் திட்டங்களும், வேலைத்திட்டங்களும் செயற்படுத்தப்பட்டதுடன் பல இடையூறுகளுக்கு மத்தியிலும் ரணவிரு மக்களுக்கு போதியளவு சேவையை வழங்க முடிந்தது சகலரதும் துணிச்சலைக் காட்டுகின்றது என்பதை தெரிவிப்பதுடன் அதற்கு துணைபுரிந்த சகலருக்கும் கௌரவத்தைத் தெரிவித்துக் கொள்கிறேன்."
Focus was made during this year on organizing programmes of the Ranaviru Sewa Authority that did  not hider to  the corporate plan and the working programme of the Authority.,ரணவிரு சேவை அதிகார சபையினால் நடைமுறைப்படுத்தப்படும் அதன் கூட்டுத்திட்டம் மற்றும் செயற்படுத்தப்படும் வேலைத்திட்டத்திற்கு எதிர்ப்பின்றி ஏற்பாடு செய்வதில் இந்த வருடத்தினுள் வி​சேட கவனம் செலுத்தப்பட்டது.
I am confident that all the experiences we had during this period would be very useful to achieve a more systematic and constructive progress in the coming year.,இந்த காலப்பகுதியில் நாம் பெற்ற அனுபவம் அனைத்தையும் எதிர்வரும் வருடத்தில் மிகவும் சரியாகவும் உச்ச பயனைப் பெற்று முன்னேற்றுவதற்கு மிகவும் பிரயோசனப்படுமென நம்புகின்றோம்.
"To reach the expected heist in performances of an institution will depend on the parallel functioning of namely three areas of functions of the institution, the team and its personnel who make arrangements to make the functions a reality.","ஒரு நிறுவனத்தின் செயற்பாட்டு மதிப்பீடானது எதிர்ப்பார்க்கும் உச்ச மட்டத்தில் நடைபெறுவதற்கு அந் நிறுவனத்தின் செயற்பாடும்,  பணிபுரிகின்ற குழுவும் அக் குழுவிற்குரியவர்களுமாகிய மூன்று பிரிவுகளும் ஒன்றாகச் செயற்பட வேண்டும்."
"To elaborate, due to the non-identification of the role and inability to make it a success through collective efforts causes divisions in the group.",விரிவாகக் குறிப்பிடின் அவரவர்களுக்கு வழங்கப்பட்டுள்ள கடமைகளின்  செயற்பாட்டினை சரியான முறையில் அறிந்து கொள்ள முடியாமை மற்றும் கூட்டு முயற்சியின் மூலம்  அது பொதுவான முயற்சியினூடாக செய்ய முடியாததால் குழுவினுள் பேதங்களை உருவாக்க அது பெரிதும் சாதகமாகும்.
"Development of such divisions in an institution may result in a negative impact on the whole functioning of the institution, following a breakdown of the trend of satisfying individual members of the group.",இவ்வாறான பேதம் ஏதாவது நிறுவனத்தினுள் அதிகரிக்கும் காரணத்தினால் குழுவில் ஒவ்வொரு உறுப்பினரும் திருப்திப்படும் நிலமையை அறிந்து பொதுவான செயற்பாட்டிற்கு அது பாதகமான விளைவை ஏற்படுத்த முடியும்.
"We in the Ranaviru Sewa Authority, have understood this situation clearly and have made arrangements to discharge  the functions of the Authority systematically, this will result in the morale of the individual vying to high a level while mobilizing the collective efforts of the staff as a specific objective to achieve next year.",இந்த நிலைமை எங்களால் சரியாக விளங்கியதன் பேரில் ரணவிரு சேவை அதிகார சபையின் செயற்பாடுகளை சரியான முறையில் நிறைவேற்றவும் அதனூடாக பணிக்குழு பொதுவான முயற்சிகளை ஒன்று சேர்த்து நபர்களின் மன நிலையை உயர் மட்டத்தில் பேணுவதற்கும் எதிர்வரும் வருடத்தினுள் வெற்றி பெற எதிர்ப்பார்க்கும் விசேட நோக்கமெனக் குறிப்பிடுகின்றேன்.
The most important step that has been initiated in this regard is the reorganization of the Ranaviru Sewa Authority staff to make that structure more constructive and suit the modern requirements.,இது சம்பந்தமாக ஆரம்பிக்கப்படும் முக்கிய நடவடிக்கையாவது ரணவிரு சேவை அதிகார சபையின் பணிக்குழுவின் அமைப்பினை மிகவும் பயனுடையதாக்கும் நவீன தேவைகளுக்கேற்ப மறுசீரமைப்பதற்குத் தேவையான நடவடிக்கைகளை எடுப்பதாகும்.
Steps are being taken to implement it next year.,அடுத்த ஆண்டிற்குள் இதை நடைமுறைப்படுத்த நடவடிக்கை மேற்கொள்ளப்படுகிறது.
"Chairperson,","தலைவர்,"
Our Functions,எமது செயற்பாடுகள்
(According to Ranaviru Sewa Authority Act no.54 of 1999),(1999  ஆம் ஆண்டின் 54ஆம் இலக்க ரணவிரு சேவை அதிகார சபை சட்டத்திற்கு அமைவாக)
(a) To provide for the after care and rehabilitation of members of the Armed Forces and the Police Force who have become disabled in action,(அ) யுத்தகாலத்தில் அங்கவீனமுற்ற ஆயுதப் படையினர் மற்றும் பொலிஸ் உத்தியோகத்தர்களுக்கு பின்னைய பராமரிப்பு மற்றும் அவர்களது புனர்வாழ்வு தொடர்பான ஏற்பாடுகளை வழங்கல்
(b) To provide houses and to assist in building those,(ஆ) வீடு ஒதுக்கீட்டில் உதவுவதற்கும் மற்றும் வீடு வழங்குவதற்கும்
(i)- Members of the Armed Forces and the Police Force who were disabled in action and,(i)- யுத்த காலத்தில் அங்கவீனமுற்ற ஒன்றிணைந்த இராணுவத்தினருக்கும் மற்றும் பொலிஸ்படையின் உறுப்பினர்களுக்கும் மற்றும்
(ii)- The dependents of the members of the Armed Forces and the Police Force who have been killed or are missing in action,(ii)- யுத்தத்தின் போது மரணமடைந்த அல்லது காணாமற் போன ஒன்றிணைந்த இராணுவத்தினரினதும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களில் தங்கி வாழ்வோருக்கு
(c) To provide or assist in the provision of medical care to,(இ) வைத்திய சேவை வழங்குவதற்கு அல்லது உதவுவதற்கு
(i)- Members of the Armed Forces and Police Force who have become disabled in action and,(i)- யுத்த காலத்தில் அங்கவீனமுற்ற ஒன்றிணைந்த இராணுவத்தினருக்கும் மற்றும் பொலிஸ்படையின் உறுப்பினர்களுக்கும் மற்றும்
(ii)- The dependants of the members of the Armed Forces and Police Force who have been killed or are missing in action,(ii)- யுத்தத்தின் போது மரணமடைந்த அல்லது காணாமற் போன ஆயுதப் படையினரதும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களில் தங்கி வாழ்வோருக்கு
(d) To enable,(ஈ) செயற்படுத்துவதற்கு
(i)- Members of the Armed Forces and Police Force who have become disabled inaction and,(i)- யுத்த காலத்தில் அங்கவீனமுற்ற ஆயுதப் படையினருக்கும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களுக்கும் மற்றும்
(ii)- The dependants of the members of the Armed Forces and Police Force who have been killed or are missing in action to have access to education and higher education by the provision of scholarships and other forms of assistance.,(ii)- யுத்தத்தின் போது மரணமடைந்த அல்லது காணாமற் போன ஆயளுதப் படையினரதும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களில் தங்கி வாழ்வோருக்கு புலமைபரிசில் மற்றும் ஏனைய வழியிலான உதவிகளின் மூலம் கல்வி மற்றும் உயர் கல்விக்கான வாய்ப்பைப் பெறுதல்.
(e) To assist,(உ) உதவுதல்
(i)- Members of the Armed Forces and Police Force who have become disabled in action and,(i)- யுத்த காலத்தில் அங்கவீனமுற்ற ஆயுதப் படையினருக்கும் மற்றும் பொலிஸ்படையின் உறுப்பினர்களுக்கும் மற்றும்
(ii)- The dependants of the members of the Armed Forces and Police Force who have been killed or are missing in action to secure gainful employment,(ii)- யுத்தத்தின் போது மரணமடைந்த அல்லது காணாமற் போன ஆயுதப் படையினரதும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களில் தங்கி வாழ்வோருக்கு பாதுகாப்பான லாபகரமான தொழி​லைப் பெற்றுக்கொடுக்க
"(f) To set up industrial, agricultural or commercial ventures with a view to providing employment to the","((ஊ)	பாதுகாப்பான லாபகரமான தொழி​ல்த்துறை, விவசாய அல்லது வரத்தக முயற்சிகளை பெற்றுக்கொடுக்க"
(ii)- The dependants of the members of the Armed Forces and Police Force who have been killed or are missed in action,(ii)- யுத்தத்தின் போது மரணமடைந்த அல்லது காணாமற் போன ஆயுதப் படையினரதும் மற்றும் பொலிஸ் படையின் உறுப்பினர்களில் தங்கி வாழ்வோருக்கு
(g) To take action and implement all necessary action for the achievements in  the functions of the Authority,(எ)	அதிகார சபையின் வேலைகளை நிறைவேற்ற தேவையான அல்லது விருப்பமான சகல செயல்களையும் நடைமுறைப்படுத்தல்
Targeted beneficiaries,இலக்காக கொள்ளப்பட்ட பயனாளிகள்
The mission of the Ranaviru Sewa Authority is to look after the welfare of a targeted group of beneficiaries identified under the specific category.,ரணவிரு சேவை அதிகார சபையின் செயற்பணியானது குறிப்பிட்ட வகைப்படுத்தலின் கீழ் தெரிந்தெடுக்கப்பட்ட பயன்பெறுவோர் குழுவின் நலன்புரியை வளர்ப்பதாகும்.
"Those beneficiaries are,","அவ்வாறு பயன்பெறுவோர்,"
- Dependents of war heroes who have made the supreme sacrifice or missing in action in safe guarding the country and the nation numbering over 29934.,"- நாட்டிற்காக உயிர் நீத்த மற்றும் காணாமற்போன 29,934ற்கு மேற்பட்ட இராணுவத்தினரில் தங்கி வாழ்வோர்."
- War heroes who were disabled in action in safe guarding the  motherland War heroes who lost their lives/missing and became disabled up to the year 2011 provincial wise,- தாய்நாட்டின் பாதுகாப்பிற்கான  யுத்தத்தின் போது அங்கவீனமுற்ற இராணுவத்தினர் மாகாண அடிப்படையில் 2011ஆம் ஆண்டின் போது உயிர்நீத்த / காணமற்போன மற்றும் அங்கவீனமுற்ற இராணுவ வீரர்களின் எண்ணிக்கை மாகாண மட்டத்தில்
Province,மாகாணம்
War heroes who lost their lives (including those missing),உயிர்நீத்த இராணுவத்தினர் (காணாமற்போனவர் அடங்கலாக)
Disabled and retired war heroes,அங்கவீனமுற்ற மற்றும் ஓய்வுபெற்ற இராணுவத்தினர்
Total number of war heroes,மொத்த இராணுவத்தினரின் எண்ணிக்கை
Southern Province,தென் மாகாணம்
Western Province,மேல் மாகாணம்
Central Province,மத்திய மாகாணம்
Sabaragamuwa Province,சபரகமுவ மாகாணம்
Uva Province,ஊவா மாகாணம்
North West Province,வடமேல் மாகாணம்
North Central Province,வடமத்திய மாகாணம்
North and East Province,வடக்கு மற்றும் கிழக்கு மாகாணங்கள்
Total,மொத்தம்
Number of families of war heroes who lost their lives/missing up to the year 2011 provincial wise,மாகாண மட்டத்தில் 2011ஆம் ஆண்டில் உயிர்நீத்த / காணமற்போன இராணுவத்தினரின் குடும்பங்களின் எண்ணிக்கை
Married,திருமணமானோர்
Unmarried,திருமணமாகதோர்
Objectives,நோக்கம்
1. To establish an effective communication through mobilizing individual Ranaviru families scattered all over the island in a manner bringing honor and dignity to the Ranaviru name,1. ரணவிரு எனும் பெயருக்கு கௌரவமும் பெருமையும் ஏற்படும் வகையில் நாடெங்கும் பரந்து வாழும் இராணுவக் குடும்பங்கள் ஒன்று சேர்ந்து சிறந்த தொடர்பாடலை ஏற்படுத்தல்.
2. To create a team of Ranaviru family members with self- confidence and make them content,2. தன்னம்பிக்கை மிக்க திருப்தியான ரணவிரு குடும்ப உறுப்பினர்களாக தோற்றுவித்தல்.
3. To ensure the ownership of a permanent house to each Ranaviru family,3. சகல ரணவிரு குடும்பத்திற்கும் நிரந்தர வீடு உரிமையாக்குதல்.
4. Provision of blocks of land for the land less Ranaviru families for the construction of houses,4. காணியற்ற ரணவிரு குடும்பத்துக்காக வீடு அமைக்க பொருத்தமான காணி பெற்றுக்கொடுத்தல்.
5. Provision of financial assistance to the war heroes and their immediate families to meet urgent needs,5. இராணுவத்தினரைப் போன்றே அவர்களின் மிக நெருங்கிய உறவினர்கள் திடீர் சந்தர்ப்பங்களில் அத்தேவைகளை நிறைவேற்றுவதற்காக நிதி வசதியளித்தல்
6. To uplift family members of war heroes with self- confidence,6. இராணுவ குடும்ப உறுப்பினர்களுக்கு தன்னம்பிக்கையுடன் எழுந்து நிற்க சந்தர்ப்பம் ஏற்படுத்தல்
7. To engage the disabled war heroes to work with self- confidence,7. அங்கவீனமுற்ற இராணுவத்தினர் தன்னம்பிக்கையுடன் சேவை செய்யக்கூடியவர்களாக மாற்றுதல்
8. To set up model villages highlighting the Ranaviru name,8. ரணவிரு பெயரில் சிறந்த மாதிரிக் கிராமம் உருவாக்குதல்.
9. To conduct National Ranaviru remembrance ceremonies reflecting our undying gratitude for the utmost services rendered by the war heroes and to add the names of war heroes of our era  to the history of our country,9. ரணவிரு வீரர்களின் உயர்வான பணிக்கு மக்கள் பக்தி பூர்வமான நன்றிக்கடனைத் தெரிவிக்கும் முகமாக தேசிய ரணவிரு ஞாபகார்த்த விழா நடத்துதல்
"10.To make war heroes who have protected the freedom independence and territorial integrity of the motherland at the cost of their lives or limbs or missing, immortal in the chronicle of Sri Lanka","10. உயிரைத் தியாகம் செய்த, காணமற்போன, தமது உறுப்புகளை தியாகஞ்செய்து தாய் நாட்டின் இறைமையையும் சுதந்திரம் மற்றும் பிராந்தியத்தினைப் பாதுகாத்துத் தந்த இராணுவத்தினரை இலங்கை வம்ச சரித்திரத்தில் சிரஞ்சீவிகளாக மாற்றுதல்"
Approach for the year 2011,2011 வருடத்துக்கான விண்ணப்பங்கள்
The Ranaviru Sewa Authority since its establishment in 2000 for the welfare of the family members of war heroes who had made the supreme sacrifice for the protection of the independence of the country and those missing in operations and those who were made to retire on medical grounds following losing the limbs in operations and their family members has been planning and implementing programmes annually on ten priority areas during the past 11 years till 2010 and in 2011 commenced the implementation of progarmmes and projects under five areas.,"2000ம் வருடத்தில் ஆரம்பித்து இதுவரை 11 வருடம் நிறைவு பெற்றுள்ள நாட்டின் சுதந்திரத்தினை நோக்கி உயிர் நீத்த காணாமற்போன இராணுவ வீரர்களின் குடும்ப உறுப்பினர்களதும் மற்றும் யுத்தத்தின் போது தம் உறுப்புக்களை அர்ப்பணித்து, வைத்திய காரணத்திற்காக ஓய்வு பெற்ற இராணுவத்தினர் மற்றும் அவர்களின் குடும்பத்தினரது உறுப்பினர்களின் நலன்களை கவனிப்பதற்காக 2000ம் வருடம் ஆரம்பிக்கப்பட்ட றணவிரு சேவை அதிகாரசபை 10 வருடங்களாக தம் நிகழ்ச்சித்திட்டத்தை வருடாந்தம் திட்டமிட்டு நடைமுறைப்படுத்திக் கொகொண்டு வருவதோடு 2011 வருடத்தில் 5 பிரிவுகளின் கீழ் நிகழ்ச்சித் திட்டங்கள் நடைமுறைப்படுத்த ஆரம்பித்துள்ளது."
This is in addition the welfare services that have been implemented for the benefit of the  present war heroes in the services.,இதற்கு மேலதிகமாக தற்போது சேவையிலுள்ள இராணுவத்தினருக்கு நன்மை தரும் முகமாக அவர்களுக்காகவும் நலன்புரி சேவைகளும் உருவாக்கப்பட்டுள்ளன.
Project budget,செயற்றிட்ட வரவு செலவுத் திட்டம்
Money was spent on welfare services in the year 2011 with the approval of the Management Board according to the budget containing provisions for 05 areas of the authority and the media.,2011 வருடத்திற்காக அதிகார சபையின் 5 பிரிவின் கீழும் ஊடகப்பிரிவிற்கு அவசியமான ஒதுக்கீடு உள்ளடங்கிய வரவு செலவு மதிப்பீடு முகாமைத்துவ சபைக்கு சமர்ப்பித்து அந்த அனுமதியால் நலன்புரிச் சேவைக்காக செலவு செய்யப்பட்டது.
The progress of the projects has been given under each head of project.,செயற்திட்ட முன்னேற்றம் அந்தந்த செயற்றிட்ட தலைப்பின் கீழ்ச் சமர்பிக்கப்பட்டுள்ளன.
Board of management,முகாமைத்துவ சபை
The Management Board comprised of the following members since the beginning of the year 2011.,2011 வருட ஆரம்பத்திலிருந்து முகாமைத்துவ சபையானது கீழ்க்காணும் உறுப்பினர்களைக் கொண்டதாக இருந்தது.
Staff of the Ranaviru Sewa Authority,ரணவிரு சேவை அதிகார சபையின் பணிக்குழு
"The Staff of the Ranaviru Sewa Authority comprises of permanent, contract and employees who are seconded for service.",நிரந்தர ஒப்பந்த சேவை மற்றும் சேர்த்தலின் மூலம் ரணவிரு சேவை அதிகார சபை பணிக்குழு அடங்கியுள்ளது.
The number of staff members has not been increased though the number of programmes has gone up significantly in 2010 compared to those of its beginning.,ஆரம்பத்தில் அதிகார சபையின் மூலம் தம் சேவை உறுப்பினர்களுக்காக நடைமுறைப்படுத்தப்பட்ட செயற்திட்டங்களின் எண்ணிக்கையை விட அதிகமான அளவு 2010 வருடமளவில் நடைமுறைப்படுத்தப்பட்ட பணிக்குழுவில் அதிகரிப்பு ஏற்படவில்லை.
We have made representations to the treasury on the instructions of the Management Board of the Ranaviru Sewa Authority on this status and the necessity and a workshop was also held with a view to planning our next course of action.,இவ்விடயம் சம்பந்தமாகவும் அதன் தேவைப்பாடு சம்பந்தமாகவும் 2011ம் வருடத்தில் ரணவிரு சேவை அதிகாரசபையின் முகாமைத்துவ சபையின் ஆலோசனையின்படி திறைசேரியிடம் விண்ணப்பித்து தேவையான எதிர்கால நடவடிக்கைக்காக செயலமர்வு நடாத்தப்பட்டது.
In 2011 plans were prepared in this regard.,அதன்படி 2011 வருடத்தில் அது சம்பந்தமாக நடவடிக்கை திட்டமிடப்பட்டது.
During the last two years 14 trainees who were referred to us by the National Apprentice and Industrial Training Authority (NAITA) and were under going training at this authority were recruited on contract basis and in 2011 out of them 10 were employed another 04 NAITA trainees were also recruited in this year.,கடந்த இரு வருடங்களுக்குள் தேசிய பயிலுனர் மற்றும் தொழில்நுட்ப பயிற்சியளிக்கும் அதிகாரசபையினூடாக பயிற்சிக்கு உள்ளீர்க்கப்பட்டவர்களும் ஒப்பந்த அடிப்படையில் 14 பேர் சேர்க்கப்பட்டும் 2011 வருடத்தினுள் அதில் 10 பேர் சேவையில் ஈடுபட்டதோடு தேசிய பயிலுனர் மற்றும் பயிற்சியளிக்கும் அதிகார சபையின் பயிற்சியாளர் 4 பேரும் இவ்வருடத்தில் சேர்த்துக்கொள்ளப்பட்டதோடு அதிகாரசபையின் செயற்பாடுகளைச் சிறப்பாக நடாத்த அது மிகவும் உறுதுணையானது.
These recruitments helped very much in the smooth functioning of the Authority.,இதற்கு மேலதிகமாக முப்படையினதும் மற்றும் பொலிசினூடாக அதிகார சபையின் நடவடிக்கைகளின் போது உரிய சேவைகள் மற்றும் அது சம்பந்தமான நடவடிக்கைகளை இலகுவாகச் செய்ய ஊழியர்கள் சேர்க்கப்பட்டனர்.
Head office of the Authority,அதிகார சபையின் பிரதான காரியாலயம்
The non--existence of a permanent building to house the Ranaviru Sewa Authority is the main problem encountered by the Authority from in the inception.,ரணவிரு சேவை அதிகார சபைக்காக நிரந்தர கட்டிடம் இல்லாமல் இருந்தமை அதிகாரசபை ஆரம்பத்திலிருந்து முகம் கொடுத்த பிரதான பிரச்சினையாகும்.
"In 2009 it was able to buy a permanent building on Galle Road , near Bambalapitiya, The modification of that building to suit to an office with more upper floors was started in 2010.",2009ம் வருடத்தில் ரணவிரு சேவை அதிகார சபைக்காக நிரந்தர கட்டிடத்தை பம்பலபிட்டி நகருக்கண்மையில் காலி வீதியில் கொள்வனவு செய்ய முடிந்ததுடன் 2010ம் வருடம் அக்கட்டிடம் மேலதிக மாடியுடன் காரியாலயத்துக்கு உகந்ததாக மாற்றும் வேலை ஆரம்பிக்கப்பட்டது.
It is expected to shift the Head quarters of the Ranaviru Sewa Authority to this building in first quarter of 2012.,எவ்வாறாயினும் ரணவிரு சேவை அதிகார சபையால் பிரதான காரியாலயத்தை அக்கட்டிடத்திற்கு 2012 வருட முதல் காலாண்டிற்குள் கொண்டு போக முடியுமென எதிர்பார்க்கப்படுகின்றது.
Receipt of financial assistance,நிதி உதவி பெறுதல்
"For the functioning of the Ranaviru Sewa Authority, financial provisions are provided through the following sources.",ரணவிரு சேவை அதிகார சபையின் செயற்பாட்டிற்காக நிதி ஒதுக்கீடு கிடைப்பது கீழ்க்காணும் வகையிலாகும்.
1. From the annual treasury allocation for administration and other day today activities.,1. நிருவாக மற்றும் ஏனைய நாளாந்த நடவடிக்கைகளுக்கு தேவையான நிதிவளம் வருடந்தோறும் திறைசேரியினால் ஒதுக்கப்பட்ட நிதியிலிருந்து கிடைக்கும்.
2. For the implementation of projects financial contributions are made through Jayaviru lotteries and subsequently Supiri Wasana Sampatha,2. செயற்றிட்டத்தை நடைமுறைப்படுத்துவதற்காக ஜயவிரு லொத்தர் சீட்டும் பின்னர் சுப்பிரி வாசனா சம்பத்த மூலம் பெறப்படும் நிதி உதவியும்.
In addition contributions in the form of cash and kind are donated by both local and foreign donors for the implementation of the welfare activities coming under projects of the Ranaviru Sewa Authority.,இதற்கு மேலதிகமாக ரணவிரு சேவை அதிகார சபையின் பலவகையான செயற்றிட்டங்கள் மூலம் நடைமுறைப்படுத்தும் நலன்புரி நடவடிக்கைகளுக்காக உள்நாட்டு வெளிநாட்டு செல்வந்தர்களால் நிதி மற்றும் பொருட்கள் அன்பளிப்பாக பெறப்பட்டன.
